nouns,link
어린이 교육 사명감 난인성 실력 어린이 육성 경기 미래 교육 교육 행정 국장 자리 교육 활동 보호 학교 안전사고 예방 강화 학교 안전 지킴이,https://n.news.naver.com/mnews/article/666/0000043293?sid=102
전국 교직원 노동조합 전국 초등 학교 학년 대상 지달 어린이 또래 놀이 학교 전공 제회 교내 사고 치료비 제공 대부분 신체 피해 한정,https://n.news.naver.com/mnews/article/009/0005311123?sid=102
전국 교직원 노동조합 전국 초등 학교 학년 대상 지난달 어린이 또래 놀이 학교 전공 제회 교내 사고 치료비 제공 대부분 신체 피해 한정 교원 배상 책임 보험,https://n.news.naver.com/mnews/article/009/0005310949?sid=102
대전 동부 교육 지원 어린이 미술 특별 전시 대전 동구 청렴 우편 설치 부정부패 행위 근절 기여 김제선 중구 청장 사업 맨홀 뚜껑 이탈 콘크리트 맨홀 뚜껑 파손 안전사고 미연,https://n.news.naver.com/mnews/article/586/0000078922?sid=102
안전 사고 학교장 걱정 현상 교내 발생 사고 학교 사정 진정서 제출 안전사고 예방 어린이 놀이,https://sports.hankooki.com/news/articleView.html?idxno=6863053
교내 주차장 개방 협조 요청 서귀포시 국제 학교 당초 교내 연내 어린이 보호구역 불법 주정차 특별 관리 필요 지역 추가 발굴 관내 어린이 교통안전 고의,http://www.jejumaeil.net/news/articleView.html?idxno=336786
학교 안전사고 교원 중과실 민형사 책임 호소 탄원서 유치원 교내 가구 시설물 위치 변경 초중 고교 특수 사정,https://n.news.naver.com/mnews/article/022/0003930722?sid=102
키오스 방명록 출입 관리 시스템 교내 설치 키오스 신분 확인 문증 안전사고 예방 통학 환경 개선 학생 안전 확보 어린이 교통안전 유관 기관 협력 체계,https://n.news.naver.com/mnews/article/002/0002329059?sid=102
학교 간호사 배치 사업 지난해 윤석열 대통령 서울대 병원 어린이 병원 방문 학교 의료 안전사고 발생 책임 소재 우려 보건 복지 부가 진행 장애 학생,https://n.news.naver.com/mnews/article/032/0003291470?sid=102
안전 골든벨 지속 안전교육 사고 재난 생명 재산 보호 가족 사회 전체 한편 교내 안전 골든벨 학생 이달 실시 안전 골든벨 어린이 퀴즈쇼 성주 예선 학교,http://www.seongjuro.co.kr/news/view.php?idx=54017
선출 안전 실내화 착용 의무 조례 지역 어린이 병원 무화 건의안 학교 복도 착용 교내 안전 사고 예방 비용 부담 청소년 의원 설득 학생,https://n.news.naver.com/mnews/article/586/0000076629?sid=102
