nouns,link
현행법 어린이 교통안전 보호 어린이 보호구역 지정 해당 보호구역 자동차 부산 초등 학교 사망 사고 건설 기계 작업 사고 대형 사고 위험,https://www.idaegu.com/news/articleView.html?idxno=612526
지난해 부산 초등 학교 어린이 보호 구역 등굣길 지게차 운전자 별도 안전 조치 가량 자재 초등학생 사고 발생 어린이,http://www.newsworker.co.kr/news/articleView.html?idxno=344413
안전 교통사고 예방 예방 주제 포스터 생활 안전 수칙 시즌 참가 대상 초등 학교 학년 시즌 유치원 어린이집 미취학 아동,https://n.news.naver.com/mnews/article/001/0014883063?sid=102
지난해 부산 초등 학교 어린이 보호 구역 등굣길 지게차 운전자 별도 안전 조치 가량 자재 초등학생 사고 발생 어린이,https://www.ekn.kr/web/view.php?key=20240820023435907
지난해 부산 초등 학교 어린이 보호 구역 등굣길 지게차 운전자 별도 안전 조치 가량 자재 초등학생 사고 발생 어린이,http://www.sentv.co.kr/news/view/693505
교통사고 평균 지난해 부산 초등 학교 어린이 보호 구역 지게차 운전자 별도 안전 조치 가량 자재 초등학생,https://n.news.naver.com/mnews/article/079/0003929519?sid=102
손녀 초등 학교 도로 인도 사이 난간 펜스 현수막 안전사고 위험 생각,http://www.jejunews.com/news/articleView.html?idxno=2212936
초등 학교 도로 보도 사이 난간 학교 졸업 동문 축하 현수막 안전사고 위험 생각,http://www.jemin.com/news/articleView.html?idxno=777008
이승석 학생 충남 천안 출생 초등 학교 학년 바둑 시작 프로 입단 연안 안전 사고 위험 예보 주의보 발령 국립 조사원 목포 시의,https://www.kukinews.com/article/view/kuk202408190174
나곡 중학교 처인구 남동 태성 고등학교 포곡읍 둔전 초등 학교 차례 방문 예산 학교 이상일 시장 학교 공사 학생 등교 시점 공사 진행 만큼 안전사고,http://www.ilyoseoul.co.kr/news/articleView.html?idxno=491900
온의동 청소년 도서관 인근 시유지 학교 신설 추진 이듬해 교육 환경 영향 평가 통과 규모 설치 안전사고 우려 걸림돌 현재 천동,https://www.g1tv.co.kr/news?mid=1_207_4&newsid=312922
안전 관리 대상 서울시 교육 시설물 지난해 연말 기준 초등 학교 중학교 고등학교 안전 등급 나머지 건물 보수 필요 상태 안전사고,https://www.kukinews.com/article/view/kuk202408190007
온의동 청소년 도서관 인근 시유지 학교 신설 추진 이듬해 교육 환경 영향 평가 통과 규모 설치 안전사고 우려 걸림돌 현재 천동,https://www.g1tv.co.kr/news?mid=1_207_3&newsid=312908
기존 초등 학교 방과 통합 개선 단일 체제 인천시 교육청 결의 학교 안전사고 예방 보상 법률 개정 요구 교직원 교육 활동,https://www.pointdaily.co.kr/news/articleView.html?idxno=215658
어룡 초등 학교 주변 교차로 보행 신호 음성 안내 보조 장치 설치 의정부 교통사고 위험 보호 음성 안내기 설치 신호 주의 발생 어린이 안전사고,https://www.ekn.kr/web/view.php?key=20240818029184961
충북 경찰청 어린이 교통사고 예방 초등 학교 통학 주변 교통 경력 집중 배치 불법 주정차 어린이 보호 위반 보행 안전 저해 요인 점검 단속 녹색 어머니 모범 운전자,https://cc.newdaily.co.kr/site/data/html/2024/08/18/2024081800079.html
온의동 청소년 도서관 인근 시유지 학교 신설 추진 이듬해 교육 환경 영향 평가 통과 규모 설치 안전사고 우려 걸림돌 현재 천동,https://www.g1tv.co.kr/news?mid=1_207_6&newsid=312895
