Title,Link,Upload Date,View Count
"전국 팔도 정성가득한 길거리음식? 팔리는 양이 어마어마한! 야시장 맛집 달인 몰아보기 Top23, Top 23 Korean best night market food master",https://www.youtube.com/watch?v=szDYnZbJ44Y&pp=ygUKa29yZWEgZm9vZA%3D%3D,2년 전,조회수 1106만회
"대한민국 전국의 이색적이고 인기있는 역대급 침샘자극! 입이 행복한 길거리 음식 몰아보기 / chicken, noodle, tteokbokki / korean street food",https://www.youtube.com/watch?v=BpALiQo1lwI&pp=ygUKa29yZWEgZm9vZA%3D%3D,1일 전,조회수 40만회
"진심이 느껴집니다!! 대한민국 놀랍고 흥미로운 길거리음식 Top10 몰아보기, 떡볶이, 통닭, 삼겹살, 피자, 어묵, 튀김 / Korea's top 10 street food",https://www.youtube.com/watch?v=BUQV6wCn9jc&pp=ygUKa29yZWEgZm9vZA%3D%3D,4년 전,조회수 199만회
"꼭두새벽부터 준비하는 시장 길거리음식? 가성비 끝판왕! 끝내주게 맛있는! 전국 달인 맛집 몰아보기 Top 6, Best Korean street food masters video",https://www.youtube.com/watch?v=WP6ff928E00&pp=ygUKa29yZWEgZm9vZA%3D%3D,4개월 전,조회수 346만회
환상적인 설비와 제조과정의 한국 식품공장 대량생산 몰아보기 / Korea Food Factory,https://www.youtube.com/watch?v=-iiuZsG8HRc&pp=ygUKa29yZWEgZm9vZA%3D%3D,1년 전,조회수 467만회
Best KOREAN FOOD Tour Ever!! 33 Meals from Seoul to Busan! [Full Documentary],https://www.youtube.com/watch?v=RbpKkvlHYTw&pp=ygUKa29yZWEgZm9vZA%3D%3D,3개월 전,조회수 1.2억회
"생생한 현장! 전통 시장 놀라운 길거리 음식 Top8 몰아보기, 떡볶이, 수제어묵, 순대, 통닭, 분식/ Top8 Vivid Market Food-Korean Street Food",https://www.youtube.com/watch?v=OKQygBOhEiE&pp=ygUKa29yZWEgZm9vZA%3D%3D,3개월 전,조회수 735만회
"Raw beef kimbap at Gwangjang Market in Seoul, South Korea!",https://www.youtube.com/shorts/2UtiiCWk2ZA,3개월 전,조회수 413만회
ASMR MUKBANG| 직접 만든 떡볶이 양념치킨 김밥 먹방 & 레시피 FRIED CHICKEN AND Tteokbokki EATING,https://www.youtube.com/watch?v=EuySE6259wQ&pp=ygUKa29yZWEgZm9vZA%3D%3D,3년 전,조회수 3만회
Day 121 of only eating food from a Korean convenience store! #korea #koreanconveniencestore #ramen,https://www.youtube.com/shorts/WqAZHJlJu9k,5개월 전,조회수 524만회
[FRK with NewJeans]  Koreans’ Korea: K-Food #Koreans_Korea #K-food #VisitKoreaYear,https://www.youtube.com/watch?v=p9a2FkZf5b8&pp=ygUKa29yZWEgZm9vZA%3D%3D,4개월 전,조회수 635만회
"Epic KOREAN STREET FOOD MARKET TOUR in Seoul! (GwangJang Market, South Korea)",https://www.youtube.com/watch?v=bx0u67Mj5bY&pp=ygUKa29yZWEgZm9vZA%3D%3D,1년 전,조회수 481만회
"1시간 순삭! 평소 궁금했던 깨끗한 한국의 식품공장(과즐,찰보리빵,배쌀빵,구운떡,김치) 몰아보기 / Clean korean food factory",https://www.youtube.com/watch?v=w-Bl7pjdsU0&pp=ygUKa29yZWEgZm9vZA%3D%3D,15시간 전,조회수 395만회
한국 분식을 처음 먹어본 영국 축구선수들의 반응!?,https://www.youtube.com/watch?v=1FP57skH7Q4&pp=ygUKa29yZWEgZm9vZA%3D%3D,8시간 전,조회수 3만회
25가지 집밥 모음ㅣ3년간 만든 집밥 중 맛있는 요리만 모은 영상,https://www.youtube.com/watch?v=SeaiInbr92k&pp=ygUKa29yZWEgZm9vZA%3D%3D,9시간 전,조회수 169만회
"예약안하면 줄서도 못먹는 터미널상가 2층 중국집! 고구마튀김을 2단으로 쌓아주는 역대급 산더미 짜장면, 해물폭탄 짬뽕 / 강화 금문도",https://www.youtube.com/watch?v=-wiRYfPpInU&pp=ygUKa29yZWEgZm9vZA%3D%3D,스트리밍 시간: 2시간 전,조회수 2.8만회
멕시코 사람들은 뭐든지 또띠아에 싸 먹습니다🌮 백종원이 알려주는 멕시코 사람들의 음식 먹는 팁! | 스트리트푸드파이터2,https://www.youtube.com/watch?v=v_V49WtPV3U&pp=ygUKa29yZWEgZm9vZA%3D%3D,9시간 전,조회수 327만회
(1시간) 백종원이 추천하는 베트남 현지 음식🤤 이 영상 하나로 베트남 준비 끝! | #스트리트푸드파이터2 #디제이픽,https://www.youtube.com/watch?v=XQY5ZUxGuqY&pp=ygUKa29yZWEgZm9vZA%3D%3D,50분 전,조회수 731만회
필리핀 음식 TOP 10,https://www.youtube.com/watch?v=3uPtJZpLLtw&pp=ygUKa29yZWEgZm9vZA%3D%3D,7시간 전,조회수 1526만회
Why Korean Stadium Food DESTROYS American Stadium Food!! You’re Being Robbed!!,https://www.youtube.com/watch?v=h2rEeZt4mEg&pp=ygUKa29yZWEgZm9vZA%3D%3D,8개월 전,조회수 882만회
Wedding food in Korea🇰🇷 #korea #mukbang #korean #foodie #yummy #seoul #wedding #food #koreafoodie,https://www.youtube.com/shorts/wcDRLjmoyFk,15시간 전,조회수 3274만회
Eating GIANT Foods From a Korean Convenience Store!,https://www.youtube.com/shorts/PyHOxN3hLU0,19시간 전,조회수 2132만회
Making a Lunchbox at a Korean Traditional Market 🇰🇷🍱 #korea #southkorea #seoul #koreanfood,https://www.youtube.com/shorts/50Qi-EGOFd0,20시간 전,조회수 388만회
청주에 신상 분식 맛집이 떳다!! 100% 수제로 만드는 튀김에 쫀득쫀득 쌀 떡볶이 대존맛집 ,https://www.youtube.com/watch?v=ub1WfnpqXFc&pp=ygUKa29yZWEgZm9vZA%3D%3D,15시간 전,조회수 1123만회
What I Ate for Lunch at a High School in Korea Part 2 🇰🇷🏫 #korea #southkorea #seoul #koreanfood,https://www.youtube.com/shorts/AAtPyPh5MU0,1년 전,조회수 5068만회
China or Korea😋,https://www.youtube.com/shorts/Qrr1bk-hkVc,6개월 전,조회수 1341만회
"All the street food I ate in Busan, Korea!",https://www.youtube.com/shorts/hDMv-YSuyrk,2년 전,조회수 887만회
"Travelers, Where would you like to eat in Korea? #food",https://www.youtube.com/watch?v=4uP025wf2w0&pp=ygUKa29yZWEgZm9vZA%3D%3D,3개월 전,조회수 448만회
"British, Japanese, American, and Korean REACT to Best Ever Food Show Visiting Korean Night Market!!!",https://www.youtube.com/watch?v=ffumy1mDfUY&pp=ygUKa29yZWEgZm9vZA%3D%3D,6개월 전,조회수 1364만회
Live Korea Travel | Korean Street Night Walking Tour Live | Seomyeon Busan Trip Korea Best Places 👍,https://www.youtube.com/watch?v=qOxGEXr7U-Y&pp=ygUKa29yZWEgZm9vZA%3D%3D,8개월 전,조회수 1회
Live Korea Travel | Korean Street Night Walking Tour Live | Itaewon Seoul Trip Korea Best Places 👍,https://www.youtube.com/watch?v=hQwYjZGaz2s&pp=ygUKa29yZWEgZm9vZA%3D%3D,1년 전,조회수 없음
Gentle Korean Food for the Upset Stomach,https://www.youtube.com/watch?v=q99q35nLbLQ&pp=ygUKa29yZWEgZm9vZA%3D%3D,5개월 전,조회수 60회
💕Love Korea food💕Thank you I will eat well😋One Taeyong 라이브 스트리밍 중,https://www.youtube.com/watch?v=0sU8-Cw6zXI&pp=ygUKa29yZWEgZm9vZA%3D%3D,1년 전,조회수 124회
Korean food 🥘😋😋🧑‍🍳 #fbreelsfypシ゚  #food  #korea,https://www.youtube.com/watch?v=RNfK7XIkFJk&pp=ygUKa29yZWEgZm9vZA%3D%3D,7개월 전,조회수 1.2억회
Korean university breakfast pt 79 #estudiarencorea #food #koreauniversity #koreanstudies,https://www.youtube.com/shorts/193naj4y4UI,7개월 전,조회수 994회
📍🇰🇷 록진 김포 장기동 라베니체 👍🏼   #koreafood #korea #록진 #김포 #장기동 #라베니체 #한국 #เกาหลี,https://www.youtube.com/shorts/X8dtR1HN4PQ,1년 전,조회수 1회
Lunch of ordinary office workers in Korea🇰🇷 pt.12 #koreanfood #foodinkorea #food #foodie #lunch,https://www.youtube.com/shorts/GmetP56MXqk,4일 전,조회수 없음
BEST Seoul Street Food!! 🇰🇷 #seoul #southkorea #korea #koreanfood #streetfood #nightmarket #travel,https://www.youtube.com/shorts/WMQbUgmbr8I,2개월 전,조회수 828회
"Bulgogi Korean Restaurante,Seoul,Korea 🇰🇷 #travel #food #korea #koreafood #korean #mukbang #foodtrip",https://www.youtube.com/watch?v=TOuDEmLSt1o&pp=ygUKa29yZWEgZm9vZA%3D%3D,6개월 전,조회수 105만회
Koreans’ Korea K food with NewJeans,https://www.youtube.com/shorts/1vC_y-Kse2I,6개월 전,조회수 681만회
Korean Rice Roll (Kimbap) #koreanfood #kimbap #korea #delicious #food #foodie,https://www.youtube.com/shorts/GW8jY_EntJo,1년 전,조회수 1791만회
this is probably the cringest edit I ever made,https://www.youtube.com/shorts/4fgQHpvFqpo,11개월 전,조회수 3274만회
America or Korea🤔,https://www.youtube.com/shorts/JCpRjQ8Ec94,1년 전,조회수 2036만회
Best Korean food combinations 😋,https://www.youtube.com/shorts/h2ZGRg3m1A4,2년 전,조회수 448만회
청주에 신상 분식 맛집이 떳다!! 100% 수제로 만드는 튀김에 쫀득쫀득 쌀 떡볶이 대존맛집 ,https://www.youtube.com/watch?v=ub1WfnpqXFc&pp=ygUKa29yZWEgZm9vZA%3D%3D,1개월 전,조회수 1201만회
What My Korean Grandma Made Me for Lunch Part 14🍥 #shorts,https://www.youtube.com/shorts/kkO6Pi9VreE,5개월 전,조회수 1791만회
What I Ate for Lunch at the Office in Korea Part 18 🇰🇷 #korea #southkorea #seoul #koreanfood,https://www.youtube.com/shorts/VxVo4cRxYTM,5일 전,조회수 2880만회
What I Ate for Lunch in 7/11 Korea,https://www.youtube.com/shorts/GVsFUEyfIjI,1년 전,조회수 215만회
Must-eat in Myeongdong 🇰🇷 #seoul #korea #koreanfood #streetfood #mukbang #koreanstreetfood #shorts,https://www.youtube.com/shorts/Iha2-lR7IR0,1년 전,조회수 987만회
